Timestamp,Raw_Range,Range_m
09:01:16,7.341,0.635
09:01:16,5.306,0.127
09:01:16,4.506,-0.074
09:01:16,2.106,-0.674
09:01:17,1.487,-0.828
09:01:17,-0.307,-1.277
09:01:17,-3.004,-1.951
09:01:17,-3.686,-2.121
09:01:17,-3.552,-2.088
09:01:17,-3.717,-2.129
09:01:17,-3.184,-1.996
09:01:17,-3.601,-2.100
09:01:17,-3.533,-2.083
09:01:17,-3.274,-2.019
09:01:17,-3.571,-2.093
09:01:17,-3.894,-2.174
09:01:17,-3.269,-2.017
09:01:17,-2.687,-1.872
09:01:17,-2.542,-1.836
09:01:17,-1.434,-1.558
09:01:17,-0.434,-1.309
09:01:17,-0.383,-1.296
09:01:17,0.112,-1.172
09:01:17,0.653,-1.037
09:01:17,0.688,-1.028
09:01:18,0.974,-0.957
09:01:18,0.812,-0.997
09:01:18,0.496,-1.076
09:01:18,1.301,-0.875
09:01:18,3.800,-0.250
09:01:18,2.517,-0.571
09:01:18,5.536,0.184
09:01:18,4.959,0.040
09:01:18,5.110,0.077
09:01:18,6.010,0.302
09:01:18,4.819,0.005
09:01:18,3.336,-0.366
09:01:18,5.772,0.243
09:01:18,8.792,0.998
09:01:18,6.080,0.320
09:01:18,7.755,0.739
09:01:18,6.962,0.541
09:01:18,4.644,-0.039
09:01:18,3.913,-0.222
09:01:18,5.944,0.286
09:01:19,7.544,0.686
09:01:19,10.015,1.304
09:01:19,11.072,1.568
09:01:19,8.306,0.876
09:01:19,10.487,1.422
09:01:19,8.373,0.893
09:01:19,10.149,1.337
09:01:19,11.220,1.605
09:01:19,12.833,2.008
09:01:19,13.035,2.059
09:01:19,14.677,2.469
09:01:19,15.510,2.678
09:01:19,15.549,2.687
09:01:19,14.622,2.455
09:01:19,13.436,2.159
09:01:19,11.958,1.790
09:01:19,10.143,1.336
09:01:19,7.559,0.690
09:01:19,5.153,0.088
09:01:20,6.261,0.365
09:01:20,4.262,-0.134
09:01:20,2.117,-0.671
09:01:20,-0.530,-1.333
09:01:20,-3.391,-2.048
09:01:20,-2.148,-1.737
09:01:20,-4.820,-2.405
09:01:20,-2.213,-1.753
09:01:20,0.459,-1.085
09:01:20,0.998,-0.951
09:01:20,-0.418,-1.304
09:01:20,-2.590,-1.847
09:01:20,-4.969,-2.442
09:01:20,-3.135,-1.984
09:01:20,-5.871,-2.668
09:01:20,-4.682,-2.370
09:01:20,-3.161,-1.990
09:01:20,-1.795,-1.649
09:01:20,-0.678,-1.370
09:01:20,-3.457,-2.064
09:01:20,-1.285,-1.521
09:01:21,-0.944,-1.436
09:01:21,-2.159,-1.740
09:01:21,-1.449,-1.562
09:01:21,0.799,-1.000
09:01:21,-2.294,-1.773
09:01:21,-0.997,-1.449
09:01:21,-1.540,-1.585
09:01:21,-0.607,-1.352
